page_id	text	url
0	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
1	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
2	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
3	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
4	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
5	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
6	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
7	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
8	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
9	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
10	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
11		https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
12	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
13	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
14		https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
15	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
16		https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
17	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
18	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
19	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
20	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
21	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
22	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
23	 MENU 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
24	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
25	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
26	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
27	 MENU 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
28	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
29	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
30	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
31	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
32	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
33	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
34	 Order 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
35	 Protection 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
36	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
37	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
38	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
39	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
40	 Ready to Ship 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
41	 Personal Protective Equipment 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
42	 Trade Shows 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
43	 Buyer Central 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
44	 Sell on Alibaba.com 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
45	 Help 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
46	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
47	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
48	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
49	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
50	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
51	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
52	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
53	 Alibaba.com 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
54	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
55	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
56	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
57	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
58	 	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
59	English - USD	https://www.alibaba.com/trade/search?spm=a27aq.cp_44.4746171840.91.1a523ccfVDkIDu&categoryId=100009272&SearchText=Tablet+PC+Stands&indexArea=product_en&fsb=y&productId=1600950635755
