"id","text"
"dark-patterns-buster-157","43,999"
"dark-patterns-buster-158","9% off"
"dark-patterns-buster-159","9% off"
"dark-patterns-buster-160","Add to Compare"
"dark-patterns-buster-161","Add to Compare"
"dark-patterns-buster-162","Google Chromecast with TV (4K) Media Streaming Device"
"dark-patterns-buster-163","Google Chromecast with TV (4K) Media Streaming Device"
"dark-patterns-buster-164","Snow"
"dark-patterns-buster-165","Snow"
"dark-patterns-buster-166","4.6"
"dark-patterns-buster-167","4.6"
"dark-patterns-buster-168","(1,062)"
"dark-patterns-buster-169","(1,062)"
"dark-patterns-buster-170","₹5,999"
"dark-patterns-buster-171","₹5,999"
"dark-patterns-buster-172","₹"
"dark-patterns-buster-173","₹"
"dark-patterns-buster-174","6,399"
"dark-patterns-buster-175","6,399"
"dark-patterns-buster-176","6% off"
"dark-patterns-buster-177","6% off"
"dark-patterns-buster-178","Add to Compare"
"dark-patterns-buster-179","Add to Compare"
"dark-patterns-buster-180","Google Pixel 7 (Lemongrass, 128 GB)"
"dark-patterns-buster-181","Google Pixel 7 (Lemongrass, 128 GB)"
"dark-patterns-buster-182","8 GB RAM"
"dark-patterns-buster-183","8 GB RAM"
"dark-patterns-buster-184","4.3"
"dark-patterns-buster-185","4.3"
"dark-patterns-buster-186","(12,720)"
"dark-patterns-buster-187","(12,720)"
"dark-patterns-buster-188","₹46,999"
"dark-patterns-buster-189","₹46,999"
"dark-patterns-buster-190","₹"
"dark-patterns-buster-191","₹"
"dark-patterns-buster-192","59,999"
"dark-patterns-buster-193","59,999"
"dark-patterns-buster-194","21% off"
"dark-patterns-buster-195","21% off"
"dark-patterns-buster-196","Add to Compare"
"dark-patterns-buster-197","Add to Compare"
"dark-patterns-buster-198","Google Pixel 7 (Obsidian, 128 GB)"
"dark-patterns-buster-199","Google Pixel 7 (Obsidian, 128 GB)"
"dark-patterns-buster-200","8 GB RAM"
"dark-patterns-buster-201","8 GB RAM"
"dark-patterns-buster-202","4.3"
"dark-patterns-buster-203","4.3"
"dark-patterns-buster-204","(12,720)"
"dark-patterns-buster-205","(12,720)"
"dark-patterns-buster-206","₹46,999"
"dark-patterns-buster-207","₹46,999"
"dark-patterns-buster-208","₹"
"dark-patterns-buster-209","₹"
"dark-patterns-buster-210","59,999"
"dark-patterns-buster-211","59,999"
"dark-patterns-buster-212","21% off"
"dark-patterns-buster-213","21% off"
"dark-patterns-buster-214","Add to Compare"
"dark-patterns-buster-215","Add to Compare"
"dark-patterns-buster-216","Google Pixel 7 (Snow, 128 GB)"
"dark-patterns-buster-217","Google Pixel 7 (Snow, 128 GB)"
"dark-patterns-buster-218","8 GB RAM"
"dark-patterns-buster-219","8 GB RAM"
"dark-patterns-buster-220","4.3"
"dark-patterns-buster-221","4.3"
"dark-patterns-buster-222","(12,720)"
"dark-patterns-buster-223","(12,720)"
"dark-patterns-buster-224","₹46,999"
"dark-patterns-buster-225","₹46,999"
"dark-patterns-buster-226","₹"
"dark-patterns-buster-227","₹"
"dark-patterns-buster-228","59,999"
"dark-patterns-buster-229","59,999"
"dark-patterns-buster-230","21% off"
"dark-patterns-buster-231","21% off"
"dark-patterns-buster-232","Add to Compare"
"dark-patterns-buster-233","Add to Compare"
"dark-patterns-buster-234","Google Pixel 7a (Coral, 128 GB)"
"dark-patterns-buster-235","Google Pixel 7a (Coral, 128 GB)"
"dark-patterns-buster-236","8 GB RAM"
"dark-patterns-buster-237","8 GB RAM"
"dark-patterns-buster-238","4.1"
"dark-patterns-buster-239","4.1"
"dark-patterns-buster-240","(15,124)"
"dark-patterns-buster-241","(15,124)"
"dark-patterns-buster-242","₹39,999"
"dark-patterns-buster-243","₹39,999"
"dark-patterns-buster-244","₹"
"dark-patterns-buster-245","₹"
"dark-patterns-buster-246","43,999"
"dark-patterns-buster-247","43,999"
"dark-patterns-buster-248","9% off"
"dark-patterns-buster-249","9% off"
"dark-patterns-buster-250","Add to Compare"
"dark-patterns-buster-251","Add to Compare"
"dark-patterns-buster-252","Google Pixel Buds Pro with Active Noise Cancellation Bl..."
"dark-patterns-buster-253","Google Pixel Buds Pro with Active Noise Cancellation Bl..."
"dark-patterns-buster-254","Charcoal, In the Ear"
"dark-patterns-buster-255","Charcoal, In the Ear"
"dark-patterns-buster-256","4.5"
"dark-patterns-buster-257","4.5"
"dark-patterns-buster-258","(2,160)"
"dark-patterns-buster-259","(2,160)"
"dark-patterns-buster-260","₹15,990"
"dark-patterns-buster-261","₹15,990"
"dark-patterns-buster-262","₹"
"dark-patterns-buster-263","₹"
"dark-patterns-buster-264","19,990"
"dark-patterns-buster-265","19,990"
"dark-patterns-buster-266","20% off"
"dark-patterns-buster-267","20% off"
"dark-patterns-buster-268","Add to Compare"
"dark-patterns-buster-269","Add to Compare"
"dark-patterns-buster-270","Google 30W - 5A ,USB-C,Power Adaptor combo for Google d..."
