iter	Passed	Remaining
498	8888	8924
499	8905	8905
500	8921	8885
501	8935	8864
502	8951	8844
503	8970	8828
504	8983	8805
505	9000	8787
506	9018	8769
507	9033	8749
508	9052	8732
509	9069	8713
510	9085	8693
511	9102	8675
512	9123	8661
513	9142	8644
514	9161	8627
515	9181	8611
516	9199	8594
517	9216	8575
518	9232	8556
519	9250	8538
520	9266	8519
521	9283	8500
522	9302	8483
523	9318	8464
524	9333	8444
525	9349	8425
526	9369	8409
527	9384	8389
528	9404	8373
529	9424	8357
530	9437	8336
531	9453	8316
532	9471	8298
533	9487	8279
534	9504	8260
535	9521	8242
536	9537	8223
537	9556	8206
538	9573	8187
539	9589	8169
540	9605	8149
541	9624	8132
542	9646	8118
543	9668	8104
544	9684	8085
545	9702	8067
546	9718	8048
547	9733	8028
548	9750	8009
549	9764	7988
550	9779	7969
551	9798	7952
552	9817	7935
553	9834	7917
554	9850	7898
555	9866	7879
556	9883	7860
557	9901	7843
558	9925	7830
559	9947	7816
560	9975	7806
561	9995	7790
562	10011	7771
563	10024	7749
564	10043	7732
565	10062	7715
566	10078	7696
567	10093	7677
568	10116	7662
569	10130	7642
570	10148	7624
571	10165	7606
572	10181	7587
573	10197	7568
574	10215	7550
575	10235	7534
576	10254	7517
577	10273	7500
578	10288	7480
579	10307	7463
580	10327	7447
581	10346	7431
582	10363	7412
583	10379	7393
584	10397	7376
585	10416	7359
586	10434	7341
587	10450	7322
588	10469	7305
589	10486	7287
590	10503	7269
591	10521	7250
592	10539	7233
593	10556	7215
594	10575	7198
595	10592	7180
596	10613	7164
597	10630	7146
598	10647	7128
599	10665	7110
600	10681	7091
601	10699	7074
602	10715	7055
603	10733	7037
604	10749	7018
605	10767	7000
606	10784	6982
607	10802	6964
608	10820	6947
609	10837	6928
610	10857	6912
611	10878	6896
612	10896	6879
613	10914	6861
614	10932	6844
615	10947	6824
616	10963	6805
617	10982	6788
618	11000	6770
619	11017	6752
620	11038	6736
621	11056	6718
622	11074	6701
623	11091	6683
624	11107	6664
625	11123	6645
626	11141	6628
627	11156	6608
628	11173	6590
629	11191	6572
630	11209	6555
631	11226	6536
632	11243	6518
633	11261	6501
634	11278	6482
635	11296	6465
636	11314	6447
637	11331	6429
638	11347	6410
639	11365	6392
640	11382	6374
641	11403	6358
642	11419	6340
643	11438	6323
644	11456	6305
645	11473	6287
646	11492	6270
647	11508	6251
648	11525	6233
649	11543	6215
650	11560	6197
651	11579	6180
652	11596	6162
653	11614	6144
654	11631	6126
655	11649	6108
656	11666	6090
657	11687	6074
658	11700	6054
659	11714	6034
660	11728	6015
661	11745	5996
662	11760	5978
663	11778	5960
664	11795	5941
665	11811	5923
666	11829	5905
667	11843	5886
668	11861	5868
669	11876	5849
670	11894	5831
671	11912	5814
672	11928	5795
673	11946	5778
674	11964	5760
675	11980	5742
676	11998	5724
677	12016	5706
678	12035	5689
679	12055	5672
680	12072	5655
681	12089	5636
682	12106	5618
683	12121	5600
684	12139	5582
685	12155	5564
686	12171	5545
687	12189	5528
688	12207	5509
689	12224	5492
690	12240	5473
691	12259	5456
692	12276	5438
693	12293	5420
694	12313	5403
695	12328	5384
696	12345	5366
697	12364	5349
698	12381	5331
699	12399	5314
700	12415	5295
701	12431	5277
702	12449	5259
703	12467	5242
704	12483	5223
705	12499	5205
706	12516	5187
707	12533	5169
708	12554	5152
709	12577	5137
710	12594	5119
711	12608	5100
712	12623	5081
713	12640	5063
714	12658	5045
715	12677	5028
716	12693	5009
717	12710	4992
718	12725	4973
719	12744	4956
720	12762	4938
721	12782	4921
722	12801	4904
723	12820	4887
724	12836	4869
725	12852	4850
726	12870	4832
727	12889	4815
728	12906	4797
729	12921	4779
730	12940	4761
731	12955	4743
732	12974	4725
733	12993	4708
734	13011	4691
735	13030	4673
736	13046	4655
737	13064	4637
738	13079	4619
739	13096	4601
740	13114	4583
741	13131	4566
742	13146	4547
743	13162	4528
744	13180	4511
745	13197	4493
746	13213	4475
747	13229	4457
748	13247	4439
749	13263	4421
750	13281	4403
751	13298	4385
752	13316	4368
753	13334	4350
754	13352	4332
755	13370	4315
756	13388	4297
757	13405	4279
758	13420	4261
759	13437	4243
760	13454	4225
761	13472	4207
762	13488	4189
763	13508	4172
764	13527	4155
765	13550	4139
766	13569	4122
767	13585	4104
768	13604	4086
769	13620	4068
770	13639	4051
771	13656	4033
772	13674	4015
773	13695	3998
774	13714	3981
775	13733	3964
776	13748	3945
777	13765	3928
778	13785	3910
779	13798	3891
780	13816	3874
781	13834	3856
782	13852	3839
783	13872	3822
784	13890	3804
785	13907	3786
786	13925	3768
787	13941	3750
788	13958	3732
789	13976	3715
790	13994	3697
791	14010	3679
792	14025	3661
793	14042	3643
794	14061	3625
795	14078	3608
796	14094	3589
797	14111	3572
798	14128	3554
799	14145	3536
800	14163	3518
801	14181	3501
802	14202	3484
803	14221	3467
804	14243	3450
805	14262	3432
806	14283	3415
807	14299	3397
808	14315	3379
809	14333	3362
810	14350	3344
811	14368	3326
812	14384	3308
813	14401	3290
814	14418	3272
815	14435	3255
816	14452	3237
817	14469	3219
818	14487	3201
819	14505	3184
820	14529	3167
821	14546	3150
822	14562	3131
823	14578	3113
824	14595	3095
825	14611	3077
826	14630	3060
827	14646	3042
828	14664	3024
829	14681	3007
830	14698	2989
831	14713	2971
832	14733	2953
833	14752	2936
834	14771	2918
835	14789	2901
836	14807	2883
837	14824	2865
838	14843	2848
839	14862	2831
840	14882	2813
841	14900	2796
842	14921	2778
843	14940	2761
844	14954	2743
845	14973	2725
846	14990	2707
847	15007	2689
848	15021	2671
849	15039	2653
850	15055	2635
851	15071	2618
852	15088	2600
853	15105	2582
854	15120	2564
855	15136	2546
856	15153	2528
857	15172	2511
858	15190	2493
859	15205	2475
860	15223	2457
861	15240	2439
862	15258	2422
863	15277	2404
864	15293	2386
865	15311	2369
866	15329	2351
867	15343	2333
868	15360	2315
869	15377	2297
870	15395	2280
871	15412	2262
872	15430	2244
873	15449	2227
874	15468	2209
875	15489	2192
876	15516	2176
877	15537	2159
878	15559	2141
879	15575	2123
880	15594	2106
881	15611	2088
882	15629	2070
883	15647	2053
884	15662	2035
885	15682	2017
886	15700	2000
887	15716	1982
888	15733	1964
889	15749	1946
890	15764	1928
891	15784	1911
892	15803	1893
893	15820	1875
894	15836	1857
895	15851	1839
896	15871	1822
897	15889	1804
898	15909	1787
899	15927	1769
900	15944	1751
901	15963	1734
902	15978	1716
903	15993	1698
904	16009	1680
905	16028	1663
906	16047	1645
907	16067	1627
908	16084	1610
909	16101	1592
910	16120	1574
911	16137	1557
912	16154	1539
913	16174	1521
914	16194	1504
915	16210	1486
916	16224	1468
917	16241	1450
918	16258	1432
919	16273	1415
920	16290	1397
921	16308	1379
922	16325	1361
923	16343	1344
924	16361	1326
925	16380	1309
926	16400	1291
927	16421	1274
928	16441	1256
929	16461	1239
930	16484	1221
931	16506	1204
932	16524	1186
933	16544	1169
934	16565	1151
935	16589	1134
936	16607	1116
937	16623	1098
938	16643	1081
939	16664	1063
940	16680	1045
941	16695	1027
942	16714	1010
943	16729	992
944	16746	974
945	16765	957
946	16782	939
947	16799	921
948	16817	903
949	16837	886
950	16853	868
951	16869	850
952	16888	832
953	16904	815
954	16920	797
955	16936	779
956	16954	761
957	16969	743
958	16986	726
959	17004	708
960	17020	690
961	17039	673
962	17057	655
963	17075	637
964	17098	620
965	17116	602
966	17132	584
967	17149	566
968	17167	549
969	17184	531
970	17200	513
971	17217	495
972	17234	478
973	17252	460
974	17271	442
975	17297	425
976	17319	407
977	17346	390
978	17363	372
979	17380	354
980	17395	336
981	17416	319
982	17441	301
983	17462	283
984	17489	266
985	17511	248
986	17530	230
987	17551	213
988	17571	195
989	17588	177
990	17604	159
991	17621	142
992	17639	124
993	17653	106
994	17670	88
995	17685	71
996	17701	53
997	17719	35
998	17737	17
999	17754	0
