iter	MultiClass
717	0.2031071446
718	0.2030763684
719	0.2029501685
720	0.2028745334
721	0.2028232354
722	0.2027858523
723	0.2027419648
724	0.202636097
725	0.2025219779
726	0.2024095488
727	0.2022103166
728	0.2020812439
729	0.2020078882
730	0.2018962254
731	0.201719939
732	0.2016606523
733	0.201523869
734	0.2014230694
735	0.2013559248
736	0.2013022048
737	0.2012198474
738	0.2010400109
739	0.2009072274
740	0.2007630084
741	0.2007248854
742	0.2006518537
743	0.2005673835
744	0.2004296084
745	0.2003134255
746	0.2001473504
747	0.2000434129
748	0.1999304468
749	0.1998144831
750	0.1996605111
751	0.19958909
752	0.1995327055
753	0.1994079594
754	0.1992770521
755	0.1992061388
756	0.1991164463
757	0.1990650496
758	0.198942784
759	0.1988970354
760	0.1987811211
761	0.1986834974
762	0.1986247106
763	0.1985947705
764	0.198533465
765	0.1984088785
766	0.1982406475
767	0.1981394134
768	0.1978722811
769	0.1977565906
770	0.1976743294
771	0.1975764488
772	0.1974649723
773	0.1973833508
774	0.1973246108
775	0.1972626004
776	0.1971475921
777	0.1970687684
778	0.1970028122
779	0.196954546
780	0.1969102371
781	0.1968285027
782	0.196654382
783	0.1965646099
784	0.1964877379
785	0.1964568559
786	0.1964114013
787	0.1962601423
788	0.1961936179
789	0.1961760788
790	0.1961415565
791	0.1960310065
792	0.1959994476
793	0.1958955207
794	0.1957655116
795	0.1956233233
796	0.1955823034
797	0.1955435275
798	0.1955109189
799	0.1952908655
800	0.1951662797
801	0.1951152694
802	0.1950709012
803	0.1950162919
804	0.1949470132
805	0.1947358995
806	0.1945824014
807	0.1945279045
808	0.1944316507
809	0.1944119839
810	0.1943576276
811	0.1942940858
812	0.1942192114
813	0.1941550436
814	0.1940778353
815	0.1939904848
816	0.1939329876
817	0.193788107
818	0.1937414185
819	0.1936047656
820	0.1935543687
821	0.1935149658
822	0.19339729
823	0.1933492273
824	0.193310709
825	0.1931963135
826	0.1931530852
827	0.1931219407
828	0.1929486907
829	0.1928599901
830	0.1928257337
831	0.1927219588
832	0.1926784302
833	0.1926301747
834	0.192523816
835	0.1924823021
836	0.1923540705
837	0.1922195979
838	0.1921623766
839	0.1920181052
840	0.191986592
841	0.1919496026
842	0.1918384126
843	0.1918088684
844	0.1917754803
845	0.1916325419
846	0.1913757693
847	0.1912609256
848	0.191192899
849	0.1911540166
850	0.1910283627
851	0.1908973559
852	0.1908141402
853	0.1907074581
854	0.1906392239
855	0.1905962424
856	0.1905039851
857	0.1903850628
858	0.1903300593
859	0.1902268049
860	0.1901687977
861	0.1901234273
862	0.1899462356
863	0.1898941169
864	0.1897793293
865	0.1897258778
866	0.1896007084
867	0.1895850244
868	0.1895584081
869	0.1895064453
870	0.1894704102
871	0.1893806405
872	0.1892566421
873	0.1891695096
874	0.1890425902
875	0.1889134623
876	0.188744581
877	0.1887148528
878	0.1886301232
879	0.1885662591
880	0.1883769744
881	0.1883477446
882	0.1882786834
883	0.1881283358
884	0.1880314475
885	0.1878776596
886	0.1878304228
887	0.1877315398
888	0.1876728544
889	0.1876487346
890	0.1875452993
891	0.1873867567
892	0.1873427062
893	0.1873104031
894	0.1871387118
895	0.1870817359
896	0.1869798324
897	0.1869025882
898	0.1867020007
899	0.1865820875
900	0.1865365913
901	0.1864549355
902	0.1864321475
903	0.1863750659
904	0.1863063424
905	0.1862467777
906	0.1862092368
907	0.1861360891
908	0.1860179288
909	0.1859350678
910	0.1858264893
911	0.1857631339
912	0.1856752845
913	0.1855167212
914	0.185373072
915	0.1853463182
916	0.1852855155
917	0.1852673756
918	0.1851927785
919	0.185135825
920	0.1849939012
921	0.1848718174
922	0.1848131874
923	0.1846978244
924	0.1846247622
925	0.184584701
926	0.1845179128
927	0.1844653164
928	0.184444309
929	0.1843887959
930	0.1843384808
931	0.1842700119
932	0.1842404461
933	0.1841438861
934	0.1840395467
935	0.1839466427
936	0.1838584412
937	0.1838337689
938	0.1837775009
939	0.1836735006
940	0.1835513173
941	0.1834762179
942	0.1834550793
943	0.1834210353
944	0.1833948515
945	0.1833246988
946	0.1832716424
947	0.1831784273
948	0.1831315171
949	0.1830666224
950	0.1830101614
951	0.1829132486
952	0.1828647573
953	0.1828389391
954	0.1827744031
955	0.1827047253
956	0.1825766667
957	0.1825197897
958	0.1824776023
959	0.182464851
960	0.1824105832
961	0.1823681589
962	0.1823474358
963	0.1822905298
964	0.1822548383
965	0.1821833266
966	0.1821466142
967	0.1821245181
968	0.1820975975
969	0.1820706354
970	0.1820483532
971	0.1819692238
972	0.1818939599
973	0.1817904162
974	0.1817680807
975	0.1817302346
976	0.1816943402
977	0.1816165487
978	0.1815631893
979	0.1814417927
980	0.1813902188
981	0.1813203675
982	0.1812918354
983	0.1811618903
984	0.1810973468
985	0.1810542887
986	0.1809194804
987	0.1808688778
988	0.1808140188
989	0.1807671095
990	0.1806856884
991	0.1806485256
992	0.1806306758
993	0.1806014017
994	0.1805519243
995	0.1805249113
996	0.1804636668
997	0.1803723825
998	0.1803534175
999	0.180251853
